Elapsed Time (ms), RR (ms), Heart Rate (bpm)
323663,427,140.6
324080,417,144
324490,410,146.3
324890,400,150
325287,397,151.3
325690,403,148.8
326100,410,146.3
326500,400,150
326913,413,145.2
327330,417,144
327733,403,148.8
328130,397,151.3
328517,387,155.2
328900,383,156.5
329287,387,155.2
329697,410,146.3
330123,427,140.6
330520,397,151.3
330903,383,156.5
331277,373,160.7
331650,373,160.7
332033,383,156.5
332413,380,157.9
332793,380,157.9
333190,397,151.3
333593,403,148.8
333983,390,153.8
334357,373,160.7
334730,373,160.7
335107,377,159.3
335480,373,160.7
335853,373,160.7
336220,367,163.6
336590,370,162.2
336953,363,165.1
337320,367,163.6
337693,373,160.7
338070,377,159.3
338447,377,159.3
338820,373,160.7
339190,370,162.2
339563,373,160.7
339937,373,160.7
340307,370,162.2
340673,367,163.6
341043,370,162.2
341410,367,163.6
341783,373,160.7
342157,373,160.7
342533,377,159.3
342920,387,155.2
343300,380,157.9
343677,377,159.3
344050,373,160.7
344417,367,163.6
344787,370,162.2
345157,370,162.2
345527,370,162.2
345897,370,162.2
346267,370,162.2
346637,370,162.2
347013,377,159.3
347410,397,151.3
347807,397,151.3
348207,400,150
348620,413,145.2
349050,430,139.5
349470,420,142.9
349860,390,153.8
350243,383,156.5
350633,390,153.8
351017,383,156.5
351400,383,156.5
351783,383,156.5
352173,390,153.8
352553,380,157.9
352933,380,157.9
353317,383,156.5
353697,380,157.9
354077,380,157.9
354453,377,159.3
354827,373,160.7
355207,380,157.9
355587,380,157.9
355970,383,156.5
356367,397,151.3
356797,430,139.5
357207,410,146.3
357610,403,148.8
358007,397,151.3
358403,397,151.3
358810,407,147.5
359207,397,151.3
359613,407,147.5
360003,390,153.8
360397,393,152.5
360797,400,150
361217,420,142.9
361617,400,150
362020,403,148.8
362423,403,148.8
362830,407,147.5
363230,400,150
363637,407,147.5
364047,410,146.3
364453,407,147.5
364863,410,146.3
365273,410,146.3
365690,417,144
366093,403,148.8
366497,403,148.8
366903,407,147.5
367313,410,146.3
367723,410,146.3
368150,427,140.6
368573,423,141.7
369030,457,131.4
369470,440,136.4
369937,467,128.6
370383,447,134.3
370833,450,133.3
371273,440,136.4
371703,430,139.5
372140,437,137.4
372553,413,145.2
372977,423,141.7
373397,420,142.9
373810,413,145.2
374233,423,141.7
374633,400,150
375047,413,145.2
375450,403,148.8
375850,400,150
376250,400,150
376643,393,152.5
377027,383,156.5
377417,390,153.8
377807,390,153.8
378190,383,156.5
378577,387,155.2
378960,383,156.5
379347,387,155.2
379733,387,155.2
380117,383,156.5
380510,393,152.5
380913,403,148.8
381333,420,142.9
